Age,EstimatedSalary,Purchased,AgeGroup
18,68000,0,18-25
35,59000,0,26-35
30,89000,0,26-35
34,25000,0,26-35
24,89000,0,18-25
27,96000,1,26-35
41,30000,0,36-45
29,61000,0,26-35
20,74000,0,18-25
41,45000,0,36-45
31,76000,0,26-35
36,50000,0,36-45
40,47000,0,36-45
31,15000,0,26-35
46,59000,0,46-60
29,75000,0,26-35
26,30000,0,26-35
32,135000,1,26-35
32,100000,1,26-35
25,90000,0,18-25
37,33000,0,36-45
35,38000,0,26-35
33,69000,0,26-35
18,86000,0,18-25
22,55000,0,18-25
35,71000,0,26-35
29,148000,1,26-35
29,47000,0,26-35
21,88000,0,18-25
34,115000,0,26-35
26,118000,0,26-35
34,43000,0,26-35
34,72000,0,26-35
23,28000,0,18-25
35,47000,0,26-35
25,22000,0,18-25
24,23000,0,18-25
31,34000,0,26-35
26,16000,0,26-35
31,71000,0,26-35
32,117000,1,26-35
33,43000,0,26-35
33,60000,0,26-35
31,66000,0,26-35
33,41000,0,26-35
35,72000,0,26-35
28,32000,0,26-35
24,84000,0,18-25
19,26000,0,18-25
19,70000,0,18-25
28,89000,0,26-35
30,79000,0,26-35
20,36000,0,18-25
35,22000,0,26-35
35,39000,0,26-35
49,74000,0,46-60
39,134000,1,36-45
41,71000,0,36-45
58,101000,1,46-60
47,47000,0,46-60
55,130000,1,46-60
52,114000,0,46-60
40,142000,1,36-45
46,22000,0,46-60
48,96000,1,46-60
52,150000,1,46-60
59,42000,0,46-60
35,58000,0,26-35
47,43000,0,46-60
60,108000,1,46-60
49,65000,0,46-60
40,78000,0,36-45
46,96000,0,46-60
59,143000,1,46-60
41,80000,0,36-45
35,91000,1,26-35
37,144000,1,36-45
60,102000,1,46-60
35,60000,0,26-35
37,53000,0,36-45
36,126000,1,36-45
56,133000,1,46-60
40,72000,0,36-45
42,80000,1,36-45
35,147000,1,26-35
40,107000,1,36-45
49,86000,1,46-60
38,112000,0,36-45
46,79000,1,46-60
37,80000,0,36-45
46,82000,0,46-60
53,143000,1,46-60
42,149000,1,36-45
38,59000,0,36-45
50,88000,1,46-60
56,104000,1,46-60
41,72000,0,36-45
51,146000,1,46-60
57,122000,1,46-60
41,52000,0,36-45
35,97000,1,26-35
44,39000,0,36-45
37,52000,0,36-45
48,134000,1,46-60
37,146000,1,36-45
50,44000,0,46-60
52,90000,1,46-60
58,95000,1,46-60
45,131000,1,36-45
35,77000,0,26-35
36,144000,1,36-45
55,125000,1,46-60
48,90000,1,46-60
42,108000,1,36-45
37,74000,0,36-45
47,144000,1,46-60
40,61000,0,36-45
43,133000,0,36-45
59,76000,1,46-60
60,42000,1,46-60
39,106000,1,36-45
57,26000,1,46-60
57,74000,1,46-60
38,71000,0,36-45
49,88000,1,46-60
52,38000,1,46-60
50,36000,1,46-60
59,88000,1,46-60
35,61000,0,26-35
37,70000,1,36-45
52,21000,1,46-60
48,141000,0,46-60
37,93000,1,36-45
37,62000,0,36-45
48,138000,1,46-60
41,79000,0,36-45
37,78000,1,36-45
49,89000,1,46-60
55,39000,1,46-60
37,77000,0,36-45
35,57000,0,26-35
36,63000,0,36-45
42,73000,1,36-45
43,112000,1,36-45
45,79000,0,36-45
46,117000,1,46-60
58,38000,1,46-60
48,74000,1,46-60
37,137000,1,36-45
37,79000,1,36-45
40,60000,0,36-45
42,54000,0,36-45
51,134000,0,46-60
47,113000,1,46-60
36,125000,1,36-45
38,50000,0,36-45
42,70000,0,36-45
39,96000,1,36-45
49,141000,1,46-60
39,79000,0,36-45
39,75000,1,36-45
54,104000,1,46-60
35,55000,0,26-35
45,32000,1,36-45
36,60000,0,36-45
52,138000,1,46-60
53,82000,1,46-60
48,30000,1,46-60
48,131000,1,46-60
41,60000,0,36-45
42,75000,0,36-45
36,118000,1,36-45
47,107000,1,46-60
38,51000,0,36-45
48,119000,1,46-60
40,65000,0,36-45
57,60000,1,46-60
36,54000,0,36-45
58,144000,1,46-60
35,79000,0,26-35
38,55000,0,36-45
39,122000,1,36-45
53,104000,1,46-60
38,65000,0,36-45
47,51000,1,46-60
47,105000,1,46-60
41,63000,0,36-45
53,72000,1,46-60
54,108000,1,46-60
39,77000,0,36-45
38,113000,1,36-45
37,75000,0,36-45
42,90000,1,36-45
37,57000,0,36-45
36,99000,1,36-45
60,34000,1,46-60
54,70000,1,46-60
40,71000,1,36-45
43,129000,1,36-45
53,34000,1,46-60
47,50000,1,46-60
42,79000,0,36-45
42,104000,1,36-45
59,29000,1,46-60
58,47000,1,46-60
46,88000,1,46-60
54,26000,1,46-60
60,46000,1,46-60
60,83000,1,46-60
39,73000,0,36-45
59,130000,1,46-60
46,32000,1,46-60
46,74000,0,46-60
42,53000,0,36-45
41,87000,1,36-45
58,23000,1,46-60
42,64000,0,36-45
48,33000,1,46-60
44,139000,1,36-45
57,33000,1,46-60
56,60000,1,46-60
49,39000,1,46-60
47,34000,1,46-60
48,35000,1,46-60
47,23000,1,46-60
45,45000,1,36-45
39,59000,0,36-45
46,41000,1,46-60
51,23000,1,46-60
50,20000,1,46-60
36,33000,0,36-45
49,36000,1,46-60
